"Hour of the Day","MicroGrid1 Load","MicroGrid1 Generation","Solar MicroGrid1 Generation","Wind MicroGrid1 Generation","MicroGrid1 Credit","MicroGrid1 Debit","Battery SOC","Battery Action"
"0","100.0","100.0","0.0","100.0","MicroGrid1Credit: 0.0","","0.0",""
"1","100.0","200.0","0.0","200.0","MicroGrid1Credit: 100.0","","77.0","charge"
"2","100.0","300.0","0.0","300.0","MicroGrid1Credit: 200.0","","78.09663","charge"
"3","300.0","120.0","0.0","120.0","","MicroGrid1Debit: -180.0","78.09663","discharge"
"4","500.0","50.0","0.0","50.0","","MicroGrid1Debit: -450.0","75.93289","discharge"
"5","600.0","60.0","0.0","60.0","","MicroGrid1Debit: -540.0","70.513","discharge"
"6","700.0","120.0","50.0","70.0","","MicroGrid1Debit: -580.0","63.973698","discharge"
"7","800.0","380.0","260.0","120.0","","MicroGrid1Debit: -420.0","56.894775","discharge"
"8","900.0","660.0","460.0","200.0","","MicroGrid1Debit: -240.0","51.71401","discharge"
"9","1000.0","750.0","610.0","140.0","","MicroGrid1Debit: -250.0","48.724716","discharge"
"10","600.0","1200.0","700.0","500.0","MicroGrid1Credit: 600.0","","45.590286","charge"
"Hour of the Day","MicroGrid1 Load","MicroGrid1 Generation","Solar MicroGrid1 Generation","Wind MicroGrid1 Generation","MicroGrid1 Credit","MicroGrid1 Debit","Battery SOC","Battery Action"
"0","100.0","100.0","0.0","100.0","MicroGrid1Credit: 0.0","","0.0",""
"1","100.0","200.0","0.0","200.0","MicroGrid1Credit: 100.0","","67.0","charge"
"2","100.0","300.0","0.0","300.0","MicroGrid1Credit: 200.0","","68.0925","charge"
"3","300.0","120.0","0.0","120.0","","MicroGrid1Debit: -180.0","68.0925","discharge"
"4","500.0","50.0","0.0","50.0","","MicroGrid1Debit: -450.0","65.9068","discharge"
"5","600.0","60.0","0.0","60.0","","MicroGrid1Debit: -540.0","60.428154","discharge"
